löpnummer, tid
1, 2157092
2, 719925
3, 712443
4, 738542
5, 544864
6, 509564
7, 614847
8, 559362
9, 554297
10, 468569
11, 431568
12, 442265
13, 347613
14, 269590
15, 273286
16, 287091
17, 262297
18, 240342
19, 267894
20, 229813
21, 229930
22, 211898
23, 212304
24, 237901
25, 214298
26, 212486
27, 210665
28, 212141
29, 408562
30, 212820
31, 213013
32, 212777
33, 235064
34, 214796
35, 276113
36, 215264
37, 226769
38, 286054
39, 223962
40, 229474
41, 201753
42, 199649
43, 227914
44, 202356
45, 218569
46, 199478
47, 203949
48, 249523
49, 201223
50, 217935
51, 201803
52, 201293
53, 208850
54, 201749
55, 227192
56, 202423
57, 221506
58, 201024
59, 202037
60, 216252
61, 199765
62, 201938
63, 200458
64, 206073
65, 216852
66, 202565
67, 223528
68, 223836
69, 220287
70, 201123
71, 200577
72, 214206
73, 202882
74, 254446
75, 200257
76, 209531
77, 230575
78, 206082
79, 226907
80, 202798
81, 220557
82, 204616
83, 256325
84, 242742
85, 166776
86, 186057
87, 164727
88, 163953
89, 186222
90, 226783
91, 182566
92, 165611
93, 166173
94, 182999
95, 181120
96, 182930
97, 164632
98, 178444
99, 165931
100, 202102
101, 182257
102, 164265
103, 173762
104, 165651
105, 185956
106, 184159
107, 221352
108, 181255
109, 165463
110, 183017
111, 235708
112, 144399
113, 139448
114, 139840
115, 184250
116, 138735
117, 137660
118, 136857
119, 158521
120, 138445
121, 155370
122, 170582
123, 138025
124, 136783
125, 136380
126, 175496
127, 136919
128, 172172
129, 143989
130, 170452
131, 174545
132, 170728
133, 134552
134, 152601
135, 133371
136, 158070
137, 169344
138, 134427
139, 134401
140, 133965
141, 169813
142, 133198
143, 133740
144, 132026
145, 155626
146, 151711
147, 134389
148, 149342
149, 152644
150, 135709
151, 150442
152, 169660
153, 133344
154, 132327
155, 146161
156, 167133
157, 176968
158, 132425
159, 132091
160, 170752
161, 142477
162, 150121
163, 131728
164, 147812
165, 131994
166, 133075
167, 200414
168, 132581
169, 133339
170, 131925
171, 159735
172, 151356
173, 132126
174, 131711
175, 150363
176, 132555
177, 147518
178, 134096
179, 170650
180, 133917
181, 132502
182, 193984
183, 133164
184, 132210
185, 131423
186, 162011
187, 132908
188, 149596
189, 132892
190, 149002
191, 133469
192, 153749
193, 131255
194, 114835
195, 113982
196, 112894
197, 158411
198, 114097
199, 113680
200, 112904
201, 146950
202, 113926
203, 112292
204, 132154
205, 135824
206, 128187
207, 140662
208, 134580
209, 122940
210, 118377
211, 132994
212, 116887
213, 93761
214, 84390
215, 81810
216, 81906
217, 80280
218, 80875
219, 81727
220, 81171
221, 81293
222, 81455
223, 98923
224, 80881
225, 79250
226, 79299
227, 80151
228, 81415
229, 80171
230, 260050
231, 80132
232, 82726
233, 128043
234, 79393
235, 104334
236, 83014
237, 82124
238, 103575
239, 83215
240, 82680
241, 97760
242, 80691
243, 96967
244, 79270
245, 79043
246, 80598
247, 78983
248, 93635
249, 79254
250, 79045
251, 81563
252, 78911
253, 81433
254, 85325
255, 82291
256, 84993
257, 82618
258, 82467
259, 82734
260, 82642
261, 82634
262, 79180
263, 100817
264, 82229
265, 76980
266, 76090
267, 75959
268, 75778
269, 75499
270, 75037
271, 78690
272, 75520
273, 77058
274, 77086
275, 75566
276, 75227
277, 75791
278, 76097
279, 92410
280, 78015
281, 85538
282, 75782
283, 76524
284, 75867
285, 75083
286, 74562
287, 75559
288, 74983
289, 74447
290, 83329
291, 83106
292, 77498
293, 76259
294, 147245
295, 76796
296, 77321
297, 76002
298, 74875
299, 75351
300, 75014
301, 74812
302, 77085
303, 76316
304, 125489
305, 77754
306, 76656
307, 76691
308, 76740
309, 74970
310, 74042
311, 74436
312, 94539
313, 75515
314, 107451
315, 76976
316, 75581
317, 75621
318, 75093
319, 74373
320, 75984
321, 75834
322, 102148
323, 75574
324, 96901
325, 77388
326, 76255
327, 75200
328, 75725
329, 76758
330, 74208
331, 75406
332, 76129
333, 74274
334, 105351
335, 80007
336, 83347
337, 91718
338, 75694
339, 74138
340, 74418
341, 74412
342, 74550
343, 73439
344, 73469
345, 117255
346, 75521
347, 74479
348, 73946
349, 75322
350, 73376
351, 73822
352, 73812
353, 73226
354, 73790
355, 106880
356, 75026
357, 90535
358, 96158
359, 77744
360, 76474
361, 78411
362, 76839
363, 76296
364, 75815
365, 102193
366, 77857
367, 82118
368, 82429
369, 73013
370, 72918
371, 72684
372, 73743
373, 72567
374, 72019
375, 87767
376, 73844
377, 80124
378, 74849
379, 73654
380, 73509
381, 73589
382, 80600
383, 63623
384, 75798
385, 69641
386, 65536
387, 65584
388, 74559
389, 65212
390, 64864
391, 64604
392, 66462
393, 66428
394, 64470
395, 70839
396, 62754
397, 62347
398, 61942
399, 61328
400, 63716
401, 62013
402, 61612
403, 61384
404, 62348
405, 62247
406, 63221
407, 61502
408, 62531
409, 61313
410, 62626
411, 62755
412, 61782
413, 61691
414, 61553
415, 61166
416, 61755
417, 62080
418, 61102
419, 70413
420, 62492
421, 61816
422, 61395
423, 61863
424, 62783
425, 77951
426, 64941
427, 62363
428, 61631
429, 61018
430, 60822
431, 62176
432, 61642
433, 60627
434, 61463
435, 62730
436, 61121
437, 60656
438, 61484
439, 61689
440, 61171
441, 60789
442, 61088
443, 62371
444, 62485
445, 61498
446, 62958
447, 61495
448, 61036
449, 60959
450, 61063
451, 63949
452, 60819
453, 60139
454, 61325
455, 61422
456, 60863
457, 62539
458, 61781
459, 61222
460, 60531
461, 60419
462, 61496
463, 60462
464, 60501
465, 60553
466, 61227
467, 60932
468, 60591
469, 60236
470, 60764
471, 61587
472, 60493
473, 99123
474, 60729
475, 68494
476, 58815
477, 58694
478, 59739
479, 59725
480, 59267
481, 63684
482, 59587
483, 58385
484, 58792
485, 58462
486, 58095
487, 58600
488, 58253
489, 58423
490, 58119
491, 57700
492, 56911
493, 57304
494, 57403
495, 57220
496, 57460
497, 58576
498, 57830
499, 57591
500, 57319
501, 58397
502, 57579
503, 57825
504, 58074
505, 58408
506, 57812
507, 57740
508, 57678
509, 58468
510, 58155
511, 57356
512, 57882
513, 57592
514, 57822
515, 57163
516, 57355
517, 58413
518, 57270
519, 57867
520, 56742
521, 57127
522, 57895
523, 56439
524, 59076
525, 58171
526, 57428
527, 57432
528, 57572
529, 58232
530, 57006
531, 57117
532, 57537
533, 57914
534, 57268
535, 61373
536, 58051
537, 57624
538, 57002
539, 57295
540, 57691
541, 58044
542, 57942
543, 56983
544, 57786
545, 56868
546, 56395
547, 57161
548, 56805
549, 57237
550, 56170
551, 56365
552, 57203
553, 60488
554, 59124
555, 57302
556, 56944
557, 57942
558, 57347
559, 57120
560, 57223
561, 57112
562, 56589
563, 56315
564, 56846
565, 58043
566, 57280
567, 57056
568, 57377
569, 57339
570, 56690
571, 56273
572, 57575
573, 57032
574, 58333
575, 56888
576, 57810
577, 56696
578, 55704
579, 56384
580, 56552
581, 57471
582, 56547
583, 56751
584, 57446
585, 57603
586, 57239
587, 56729
588, 57874
589, 57251
590, 56917
591, 56908
592, 57178
593, 57345
594, 57357
595, 56796
596, 57665
597, 57814
598, 58409
599, 57059
600, 57527
601, 57503
602, 57193
603, 56686
604, 57933
605, 57583
606, 57027
607, 58254
608, 57726
609, 56918
610, 57002
611, 56554
612, 57571
613, 57043
614, 57061
615, 57234
616, 57976
617, 57340
618, 57040
619, 57904
620, 58332
621, 57027
622, 57679
623, 56520
624, 57535
625, 57169
626, 57563
627, 57752
628, 57968
629, 57980
630, 57051
631, 57570
632, 58271
633, 56838
634, 56319
635, 57421
636, 57580
637, 57375
638, 56526
639, 56874
640, 57203
641, 60914
642, 56071
643, 56610
644, 57383
645, 56675
646, 56519
647, 57321
648, 56960
649, 56128
650, 56490
651, 57126
652, 56826
653, 56555
654, 56749
655, 61701
656, 57658
657, 57408
658, 56809
659, 69583
660, 55913
661, 55746
662, 55883
663, 56123
664, 56159
665, 55619
666, 55089
667, 55322
668, 54906
669, 55301
