löpnummer, tid
1, 2590745
2, 874958
3, 749041
4, 836844
5, 838042
6, 844250
7, 513690
8, 492505
9, 482142
10, 470371
11, 516812
12, 471121
13, 422327
14, 556304
15, 415105
16, 414021
17, 409282
18, 410225
19, 435328
20, 402461
21, 400916
22, 412833
23, 413849
24, 392491
25, 384898
26, 383999
27, 421556
28, 384967
29, 383355
30, 383274
31, 383988
32, 383188
33, 382084
34, 383245
35, 382774
36, 409837
37, 386231
38, 403841
39, 406440
40, 470882
41, 376344
42, 409867
43, 380297
44, 359873
45, 334294
46, 323711
47, 322793
48, 324432
49, 330983
50, 313672
51, 313496
52, 313155
53, 313597
54, 312912
55, 342309
56, 318014
57, 314344
58, 312764
59, 312865
60, 312437
61, 311710
62, 312178
63, 313764
64, 330115
65, 328150
66, 348309
67, 323172
68, 316250
69, 311770
70, 309442
71, 307824
72, 307152
73, 306199
74, 446521
75, 306464
76, 329796
77, 326356
78, 318971
79, 327430
80, 315115
81, 285476
82, 284545
83, 291287
84, 284239
85, 310136
86, 288200
87, 291699
88, 298398
89, 284958
90, 284745
91, 285031
92, 284175
93, 283813
94, 286460
95, 297230
96, 275704
97, 275413
98, 277366
99, 275823
100, 275869
101, 275278
102, 278877
103, 275581
104, 275903
105, 329209
106, 275721
107, 276364
108, 2880024
109, 291207
110, 367738
111, 298073
112, 281372
113, 279710
114, 278950
115, 308970
116, 279086
117, 278126
118, 279039
119, 301048
120, 293783
121, 279135
122, 309902
123, 279479
124, 276785
125, 276294
126, 363197
127, 282435
128, 302979
129, 299351
130, 292940
131, 369877
132, 287871
133, 288326
134, 285455
135, 285322
136, 325363
137, 285739
138, 301719
139, 284813
140, 283260
141, 314860
142, 288988
143, 411790
144, 293714
145, 257029
146, 255738
147, 253134
148, 274586
149, 292376
150, 258444
151, 259013
152, 257687
153, 257301
154, 259149
155, 252841
156, 252618
157, 248106
158, 281141
159, 260661
160, 247966
161, 248072
162, 247246
163, 275065
164, 246869
165, 246221
166, 245931
167, 253139
168, 252222
169, 250666
170, 249803
171, 249083
172, 247677
173, 252731
174, 247366
175, 246718
176, 247058
177, 246410
178, 247652
179, 247084
180, 246281
181, 245666
182, 245867
183, 245600
184, 246178
185, 246073
186, 245761
187, 245139
188, 252513
189, 245151
190, 247106
191, 245847
192, 245338
193, 245191
194, 245350
195, 246449
196, 245626
197, 245242
198, 244482
199, 244839
200, 244617
201, 245178
202, 245012
203, 244717
204, 247137
205, 275877
206, 245040
207, 245500
208, 245714
209, 244816
210, 245209
211, 244884
212, 380216
213, 245151
214, 245200
215, 244277
216, 244288
217, 244376
218, 244576
219, 248852
220, 244594
221, 243991
222, 244253
223, 244085
224, 244878
225, 244419
226, 244182
227, 243894
228, 244267
229, 244314
230, 275606
231, 244642
232, 245256
233, 244078
234, 244208
235, 255016
236, 280649
237, 251524
238, 244116
239, 244356
240, 243994
241, 245054
242, 244674
243, 245161
244, 244350
245, 244461
246, 244312
247, 245263
248, 244565
249, 244050
250, 252879
251, 237551
252, 237340
253, 237817
254, 280067
255, 253188
256, 278772
257, 325847
258, 253890
259, 252659
260, 253824
261, 253292
262, 252924
263, 252872
264, 254111
265, 259676
266, 253512
267, 252152
268, 252281
269, 252137
270, 252444
271, 252680
272, 251760
273, 251036
274, 237972
275, 238175
276, 238832
277, 238535
278, 237682
279, 238623
280, 238046
281, 378552
282, 238876
283, 238348
284, 237810
285, 237851
286, 237444
287, 238238
288, 238096
289, 237756
290, 237714
291, 237546
292, 237582
293, 237943
294, 237713
295, 237821
296, 237762
297, 240914
298, 237761
299, 238906
300, 237658
301, 236970
302, 237266
303, 237076
304, 237669
305, 237288
306, 237076
307, 237571
308, 237263
309, 236856
310, 237302
311, 237082
312, 236862
313, 239277
314, 237065
315, 238624
316, 237890
317, 237230
318, 236769
319, 237696
320, 236945
321, 237329
322, 237137
323, 236981
324, 236750
325, 237588
326, 236933
327, 237439
328, 237450
329, 241031
330, 236832
331, 237239
332, 236819
333, 237153
334, 237200
335, 236910
336, 237894
337, 236752
338, 237064
339, 237105
340, 237130
341, 236743
342, 236766
343, 236911
344, 237302
345, 236747
346, 239132
347, 236522
348, 237602
349, 236624
350, 379174
351, 237581
352, 237101
353, 236805
354, 236913
355, 237093
356, 237429
357, 254623
358, 237219
359, 237561
360, 239790
361, 240111
362, 237103
363, 237437
364, 236629
365, 244457
366, 244912
367, 237482
368, 238537
369, 237045
370, 249308
371, 291982
372, 244574
373, 245258
374, 261266
375, 255262
376, 237273
377, 241117
378, 256920
379, 278023
380, 275934
381, 273626
382, 247231
383, 247698
384, 274036
385, 258208
