löpnummer, tid
1, 4693746.566772461
2, 4490375.518798828
3, 4446744.918823242
4, 4442691.802978516
5, 4395961.761474609
6, 4246711.730957031
7, 4251241.683959961
8, 3555774.688720703
9, 3883600.2349853516
10, 4075527.1911621094
11, 3986358.642578125
12, 3754138.946533203
13, 3766298.294067383
14, 3770589.828491211
15, 3613471.9848632812
16, 3610849.380493164
17, 3617286.6821289062
18, 3522634.506225586
19, 3484964.370727539
20, 3482341.766357422
21, 3452062.6068115234
22, 3362655.6396484375
23, 3377676.010131836
24, 3358125.686645508
25, 3277540.2069091797
26, 3249883.6517333984
27, 3249645.233154297
28, 3254890.4418945312
29, 3140687.942504883
30, 3148794.174194336
31, 3144264.2211914062
32, 3117561.3403320312
33, 3045797.348022461
34, 3043413.1622314453
35, 3049135.208129883
36, 3015756.607055664
37, 2958774.5666503906
38, 2954483.0322265625
39, 2957820.8923339844
40, 2934455.8715820312
41, 2871036.5295410156
42, 2871274.948120117
43, 2875566.4825439453
44, 2865314.483642578
45, 2806186.6760253906
46, 2812147.1405029297
47, 2797365.188598633
48, 2792835.235595703
49, 2733945.846557617
50, 2722024.917602539
51, 2724170.684814453
52, 2720832.8247070312
53, 2750635.1470947266
54, 2669811.248779297
55, 2649545.669555664
56, 2672910.690307617
57, 2680778.5034179688
58, 2649068.832397461
59, 2672672.2717285156
60, 2634525.2990722656
61, 2633094.7875976562
62, 2633810.043334961
63, 2663135.528564453
64, 2632379.5318603516
65, 2634525.2990722656
66, 2637863.1591796875
67, 2631187.4389648438
68, 2630949.020385742
69, 2633333.206176758
70, 2630949.020385742
71, 2634048.4619140625
72, 2645492.5537109375
73, 2634048.4619140625
74, 2633333.206176758
75, 2632617.950439453
76, 2633810.043334961
77, 2691984.176635742
78, 2825021.743774414
79, 2813339.2333984375
80, 2763509.750366211
81, 2731323.2421875
82, 2632617.950439453
83, 2634048.4619140625
84, 2646207.809448242
85, 2635240.5548095703
86, 2633333.206176758
87, 2635717.3919677734
88, 2638578.414916992
89, 2635002.1362304688
90, 2645969.3908691406
91, 2632141.11328125
92, 2639293.670654297
93, 2633333.206176758
94, 2631187.4389648438
95, 2634525.2990722656
96, 2663850.784301758
97, 2633571.6247558594
98, 2634763.717651367
99, 2630472.183227539
100, 2676725.387573242
101, 2642869.9493408203
102, 2629995.346069336
103, 2635955.810546875
104, 2635955.810546875
105, 2634048.4619140625
106, 2634525.2990722656
107, 2635002.1362304688
108, 2632856.3690185547
109, 2663373.9471435547
110, 2633810.043334961
111, 2629995.346069336
112, 2635478.973388672
113, 2633333.206176758
114, 2632141.11328125
115, 2636194.2291259766
116, 2632617.950439453
117, 2630949.020385742
118, 2634763.717651367
119, 2666473.388671875
120, 2630233.7646484375
121, 2636671.0662841797
122, 2649784.0881347656
123, 2637624.740600586
124, 2636432.647705078
125, 2724885.940551758
126, 2794504.165649414
127, 2792358.3984375
128, 2765417.0989990234
129, 2720594.4061279297
130, 2686500.5493164062
131, 2635717.3919677734
132, 2630472.183227539
133, 2698421.4782714844
134, 2651929.8553466797
135, 2632617.950439453
136, 2681016.9219970703
137, 2651929.8553466797
138, 2645730.972290039
139, 2658843.994140625
140, 2653598.7854003906
141, 2631902.6947021484
142, 2638101.577758789
143, 2636671.0662841797
144, 2629280.0903320312
145, 2641916.275024414
