löpnummer, tid
1, 334262.8479003906
2, 316143.0358886719
3, 313520.4315185547
4, 309944.15283203125
5, 306844.71130371094
6, 348091.12548828125
7, 308513.6413574219
8, 306367.8741455078
9, 307559.9670410156
10, 308275.2227783203
11, 303983.6883544922
12, 307559.9670410156
13, 305652.6184082031
14, 305891.0369873047
15, 306606.2927246094
16, 305414.19982910156
17, 306129.45556640625
18, 306844.71130371094
19, 326395.03479003906
20, 307321.54846191406
21, 306606.2927246094
22, 304698.9440917969
23, 305175.78125
24, 305414.19982910156
25, 304222.10693359375
26, 326871.8719482422
27, 303983.6883544922
28, 305652.6184082031
29, 305652.6184082031
30, 304937.36267089844
31, 327825.54626464844
32, 306367.8741455078
33, 304460.5255126953
34, 305891.0369873047
35, 304222.10693359375
36, 305414.19982910156
37, 306129.45556640625
38, 306129.45556640625
39, 305175.78125
40, 306129.45556640625
41, 303745.2697753906
42, 306367.8741455078
43, 304460.5255126953
44, 311136.24572753906
45, 287055.96923828125
46, 287532.8063964844
47, 286340.71350097656
48, 289678.57360839844
49, 285863.87634277344
50, 286817.5506591797
51, 286817.5506591797
52, 286579.1320800781
53, 286340.71350097656
54, 287055.96923828125
55, 284433.36486816406
56, 288009.6435546875
57, 308752.05993652344
58, 285625.4577636719
59, 288486.4807128906
60, 286340.71350097656
61, 287294.3878173828
62, 287055.96923828125
63, 287532.8063964844
64, 287532.8063964844
65, 287055.96923828125
66, 284671.7834472656
67, 287771.22497558594
68, 287055.96923828125
69, 284671.7834472656
70, 288009.6435546875
71, 291585.92224121094
72, 287532.8063964844
73, 287055.96923828125
74, 284910.2020263672
75, 288009.6435546875
76, 288009.6435546875
77, 286579.1320800781
78, 287532.8063964844
79, 285148.62060546875
80, 285625.4577636719
81, 287294.3878173828
82, 285148.62060546875
83, 287055.96923828125
84, 295400.61950683594
85, 269651.4129638672
86, 270843.505859375
87, 270605.08728027344
88, 269889.83154296875
89, 271797.18017578125
90, 270605.08728027344
91, 270605.08728027344
92, 271558.7615966797
93, 270128.2501220703
94, 271320.3430175781
95, 270843.505859375
96, 269651.4129638672
97, 271081.92443847656
98, 277042.3889160156
99, 268936.1572265625
100, 270843.505859375
101, 271320.3430175781
102, 270366.6687011719
103, 270843.505859375
104, 269174.57580566406
105, 270128.2501220703
106, 271558.7615966797
107, 270128.2501220703
108, 271320.3430175781
109, 271081.92443847656
110, 269174.57580566406
111, 270843.505859375
112, 276803.97033691406
113, 269651.4129638672
114, 270843.505859375
115, 270843.505859375
116, 271081.92443847656
117, 270605.08728027344
118, 268936.1572265625
119, 270843.505859375
120, 271797.18017578125
121, 269889.83154296875
122, 271081.92443847656
123, 270366.6687011719
124, 269174.57580566406
125, 269889.83154296875
126, 270128.2501220703
127, 273227.6916503906
128, 258207.3211669922
129, 255107.87963867188
130, 256538.39111328125
131, 257015.22827148438
132, 256538.39111328125
133, 256538.39111328125
134, 257253.64685058594
135, 261783.59985351562
136, 263214.111328125
137, 256299.9725341797
138, 255107.87963867188
139, 256776.8096923828
140, 256299.9725341797
141, 256061.55395507812
142, 262022.0184326172
143, 254631.04248046875
144, 256776.8096923828
145, 256538.39111328125
146, 256776.8096923828
147, 256776.8096923828
148, 256061.55395507812
149, 256776.8096923828
150, 257015.22827148438
151, 255823.13537597656
152, 257730.48400878906
153, 257015.22827148438
154, 255107.87963867188
155, 256776.8096923828
156, 256299.9725341797
157, 260353.08837890625
158, 257015.22827148438
159, 255346.29821777344
160, 257492.0654296875
161, 257253.64685058594
162, 254392.6239013672
163, 256299.9725341797
164, 257492.0654296875
165, 255346.29821777344
166, 257492.0654296875
167, 257730.48400878906
168, 256538.39111328125
169, 256776.8096923828
170, 255346.29821777344
171, 256061.55395507812
172, 261068.34411621094
173, 242471.69494628906
174, 243663.78784179688
175, 245094.29931640625
176, 243663.78784179688
177, 244855.8807373047
178, 244140.625
179, 243425.3692626953
180, 244379.04357910156
181, 242710.11352539062
182, 242948.5321044922
183, 244140.625
184, 244379.04357910156
185, 244379.04357910156
186, 244855.8807373047
187, 246524.81079101562
188, 245571.13647460938
189, 243902.20642089844
190, 242948.5321044922
191, 244140.625
192, 243902.20642089844
193, 243186.95068359375
194, 245094.29931640625
195, 242710.11352539062
196, 243663.78784179688
197, 243663.78784179688
198, 243425.3692626953
199, 243902.20642089844
200, 243902.20642089844
201, 242710.11352539062
202, 244140.625
203, 247716.90368652344
204, 242710.11352539062
205, 245094.29931640625
206, 242471.69494628906
207, 244140.625
208, 244140.625
209, 242710.11352539062
210, 243902.20642089844
211, 243425.3692626953
212, 241994.85778808594
213, 244379.04357910156
214, 243186.95068359375
215, 243186.95068359375
216, 244140.625
217, 243663.78784179688
218, 243663.78784179688
219, 253915.78674316406
220, 231266.02172851562
221, 232696.533203125
222, 233411.7889404297
223, 231027.60314941406
224, 232696.533203125
225, 232458.11462402344
226, 231742.85888671875
227, 233173.37036132812
228, 231266.02172851562
229, 232696.533203125
230, 232696.533203125
231, 230789.1845703125
232, 232458.11462402344
233, 232458.11462402344
234, 230312.34741210938
235, 232696.533203125
236, 249385.83374023438
237, 232696.533203125
238, 233173.37036132812
239, 231266.02172851562
240, 232458.11462402344
241, 233173.37036132812
242, 230789.1845703125
243, 238656.99768066406
244, 233173.37036132812
245, 230789.1845703125
246, 232934.95178222656
247, 231981.2774658203
248, 232219.69604492188
249, 233173.37036132812
250, 231742.85888671875
251, 231742.85888671875
252, 240087.50915527344
253, 231027.60314941406
254, 231266.02172851562
255, 232934.95178222656
256, 230789.1845703125
257, 215530.3955078125
258, 148773.193359375
259, 149011.61193847656
260, 150203.70483398438
261, 149965.2862548828
262, 149011.61193847656
263, 149726.86767578125
264, 148534.77478027344
265, 149250.03051757812
266, 148534.77478027344
267, 148057.9376220703
268, 149488.4490966797
269, 148534.77478027344
270, 147581.1004638672
271, 148773.193359375
272, 193834.3048095703
273, 232696.533203125
274, 231504.4403076172
275, 202655.79223632812
276, 203609.46655273438
277, 203609.46655273438
278, 203132.62939453125
279, 203371.0479736328
280, 203847.88513183594
281, 201702.11791992188
282, 203371.0479736328
283, 202417.37365722656
284, 202894.2108154297
285, 202894.2108154297
286, 203132.62939453125
287, 203609.46655273438
288, 203847.88513183594
289, 201940.53649902344
290, 203371.0479736328
291, 203132.62939453125
292, 201940.53649902344
293, 206470.48950195312
294, 201940.53649902344
295, 202655.79223632812
296, 203132.62939453125
297, 202417.37365722656
298, 203371.0479736328
299, 203847.88513183594
300, 202894.2108154297
301, 203132.62939453125
302, 203132.62939453125
303, 202178.955078125
304, 203132.62939453125
305, 202417.37365722656
306, 202417.37365722656
307, 203609.46655273438
308, 202655.79223632812
309, 203609.46655273438
310, 203371.0479736328
311, 201463.6993408203
312, 207185.7452392578
313, 202894.2108154297
314, 202894.2108154297
315, 203371.0479736328
316, 203371.0479736328
317, 202894.2108154297
318, 203847.88513183594
319, 217199.32556152344
320, 203371.0479736328
321, 203371.0479736328
322, 201702.11791992188
323, 204086.3037109375
324, 202655.79223632812
325, 202417.37365722656
326, 203132.62939453125
327, 201702.11791992188
328, 202655.79223632812
329, 203371.0479736328
330, 201463.6993408203
331, 202894.2108154297
332, 195741.6534423828
333, 194072.72338867188
334, 195026.39770507812
335, 195741.6534423828
336, 194549.560546875
337, 195503.23486328125
338, 194787.97912597656
339, 195026.39770507812
340, 195026.39770507812
341, 193595.88623046875
342, 194072.72338867188
343, 195503.23486328125
344, 194549.560546875
345, 194311.14196777344
346, 194311.14196777344
347, 193834.3048095703
348, 195026.39770507812
349, 194072.72338867188
350, 197649.0020751953
351, 195264.8162841797
352, 194311.14196777344
353, 194549.560546875
354, 195264.8162841797
355, 194311.14196777344
356, 195264.8162841797
357, 195741.6534423828
358, 194787.97912597656
359, 195503.23486328125
360, 194787.97912597656
361, 194311.14196777344
362, 195264.8162841797
363, 195026.39770507812
364, 195503.23486328125
365, 195980.07202148438
366, 194787.97912597656
367, 195503.23486328125
368, 194787.97912597656
369, 193834.3048095703
370, 198602.67639160156
371, 194311.14196777344
372, 194787.97912597656
373, 195503.23486328125
374, 195503.23486328125
375, 195026.39770507812
376, 195980.07202148438
377, 194787.97912597656
378, 195503.23486328125
379, 195264.8162841797
380, 194787.97912597656
381, 195026.39770507812
382, 194549.560546875
383, 194549.560546875
384, 195503.23486328125
385, 194072.72338867188
386, 195264.8162841797
387, 196218.49060058594
388, 194072.72338867188
389, 194549.560546875
390, 202894.2108154297
391, 186443.32885742188
392, 187873.84033203125
393, 187397.00317382812
394, 187397.00317382812
395, 188350.67749023438
396, 187397.00317382812
397, 188112.2589111328
398, 188350.67749023438
399, 187158.58459472656
400, 188350.67749023438
401, 187158.58459472656
402, 187158.58459472656
403, 187873.84033203125
404, 187397.00317382812
405, 186920.166015625
406, 188827.5146484375
407, 186204.9102783203
408, 187397.00317382812
409, 187873.84033203125
410, 190496.44470214844
411, 187635.4217529297
412, 187873.84033203125
413, 186204.9102783203
414, 188112.2589111328
415, 187635.4217529297
416, 187158.58459472656
417, 187397.00317382812
418, 186681.74743652344
419, 187397.00317382812
420, 188350.67749023438
421, 186681.74743652344
422, 187635.4217529297
423, 187635.4217529297
424, 186681.74743652344
425, 187873.84033203125
426, 187635.4217529297
427, 186443.32885742188
428, 187873.84033203125
429, 186920.166015625
